session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration,prior_accuracy
curE012a,34,xHard,0.0,left,2516,1500,4016,1,1,2,2,5,7,4,2,0,2,834,826,0,826,1.0
curE012a,41,Hard,1.0,right,9396,2334,11730,3,1,4,17,4,21,3,11,3,14,1912,3218,932,4150,
curE012a,42,xHard,0.0,left,2332,1682,4014,1,2,3,5,3,8,1,1,1,2,1734,246,370,616,1.0
curE012a,43,xHard,1.0,right,3210,9448,12658,2,1,3,7,8,15,5,3,3,6,2226,1348,980,2328,0.0
curE012a,44,xHard,1.0,left,7714,7148,14862,2,0,2,10,16,26,16,5,3,8,6032,1912,1516,3428,1.0
curE012a,45,xHard,0.0,left,4716,2348,7064,2,0,2,10,5,15,3,2,3,5,3022,444,1768,2212,1.0
curE013a,7,Easy,0.0,left,5596,1084,6680,3,0,3,14,3,17,2,5,6,11,1048,1872,2254,4126,
curE013a,8,Easy,0.0,left,19626,1050,20676,5,0,5,29,3,32,2,8,20,28,1014,2996,7224,10220,0.0
curE013a,10,Easy,1.0,left,4782,1282,6064,3,0,3,14,3,17,2,4,6,10,1132,1324,1758,3082,
curE013a,11,Easy,0.0,left,6376,2000,8376,4,0,4,15,6,21,5,6,8,14,1974,1668,3238,4906,1.0
curE013a,12,Easy,1.0,right,9348,1882,11230,4,2,6,22,3,25,1,8,11,19,1124,2324,5054,7378,0.0
curE013a,13,Easy,0.0,right,3112,1148,4260,1,1,2,7,4,11,2,4,2,6,1088,1014,768,1782,1.0
curE013a,14,Easy,0.0,left,7976,1250,9226,2,0,2,12,4,16,3,5,6,11,1238,1412,2444,3856,0.0
curE013a,16,Easy,1.0,left,6094,2666,8760,4,1,5,15,6,21,3,8,6,14,1360,2646,1150,3796,
curE013a,17,Easy,0.0,left,4298,1066,5364,4,0,4,11,3,14,2,5,5,10,1046,2336,840,3176,1.0
curE013a,20,Easy,1.0,left,5980,7008,12988,3,1,4,13,9,22,7,6,4,10,3942,2720,1504,4224,
curE013a,21,Medium,0.0,left,14944,1182,16126,2,0,2,27,3,30,2,21,4,25,1040,7130,1184,8314,1.0
curE013a,22,Medium,1.0,left,8328,1150,9478,4,0,4,12,3,15,2,6,5,11,1164,2064,1744,3808,0.0
curE013a,23,Medium,0.0,left,7750,1164,8914,3,0,3,10,3,13,2,5,3,8,1110,2086,696,2782,1.0
curE013a,26,Medium,1.0,right,6184,2480,8664,4,1,5,13,4,17,3,6,4,10,2212,1744,1252,2996,
curE013a,27,Medium,0.0,left,3964,2166,6130,3,0,3,9,5,14,4,4,4,8,2158,830,762,1592,1.0
curE013a,28,Medium,0.0,left,10562,1134,11696,2,0,2,14,3,17,2,7,4,11,1428,1394,782,2176,0.0
curE013a,29,Easy,1.0,left,5910,1234,7144,4,1,5,11,3,14,1,6,4,10,1034,2864,1196,4060,0.0
curE013a,30,Easy,0.0,left,3248,2148,5396,2,0,2,7,5,12,4,4,2,6,1004,852,570,1422,1.0
curE014a,9,Easy,0.0,left,10478,3034,13512,3,0,3,15,6,21,5,8,5,13,3058,5008,1608,6616,
curE014a,10,Easy,0.0,left,20110,7830,27940,8,2,10,20,12,32,8,4,14,18,4152,1322,6350,7672,0.0
curE014a,11,Easy,0.0,left,2694,1666,4360,2,0,2,6,3,9,2,2,3,5,1570,722,1058,1780,0.0
curE014a,12,Easy,1.0,left,13046,8768,21814,2,0,2,15,9,24,8,10,3,13,3222,4810,664,5474,0.0
curE014a,27,Medium,0.0,right,9224,1600,10824,2,0,2,13,2,15,2,9,3,12,844,3320,1500,4820,
